value;min;max;mean;amount
TBox Axioms;82.0;82.0;82.0;1
ABox Axioms;9571.0;9571.0;9571.0;1
Concept-Names;44.0;44.0;44.0;1
Roles;23.0;23.0;23.0;1
Individuals;2297.0;2297.0;2297.0;1
successors added for ind domNode;1.0;5.0;1.6195869420386382;4503
successor set sizes ever returned;0.0;13.0;1.9386014966496572;61337
successors of domain elements;0.0;13.0;1.9603831084022634;2297
interesting super classes for unraveling;0.0;3.0;1.2;5
interesting equivalent classes for unraveling;0.0;1.0;0.2;5
skipped direct TBox successors for unraveling;0.0;0.0;0.0;1
needless elk accesses (redundand);0.0;0.0;0.0;1
KB model domain nodes;2298.0;2298.0;2298.0;1
removed subsuming successors;0.0;1.0;0.16666666666666666;6
successors added for CE domNode;1.0;1.0;1.0;7
QTBox model domain nodes;5.0;5.0;5.0;1
successor-iterations simSC;0.0;39.0;3.776025481665637;77232
primitive role similarity;0.0;1.0;0.22751009951719375;30447
tasks per iteration query 1;2460.0;2460.0;2460.0;3
